id,date,category,revenue,cost,units_sold,profit,cleaned_at
1,2026-01-01,Books,243.54,159.75,13,83.78999999999999,2026-07-14 18:41:12
2,2026-01-01,Clothing,505.81,283.68,12,222.13,2026-07-14 18:41:12
3,2026-01-01,Clothing,591.17,323.11,12,268.05999999999995,2026-07-14 18:41:12
4,2026-01-01,Clothing,195.92,120.03,4,75.88999999999999,2026-07-14 18:41:12
5,2026-01-01,Clothing,365.79,199.79,9,166.00000000000003,2026-07-14 18:41:12
6,2026-01-01,Home & Kitchen,1022.9,632.65,12,390.25,2026-07-14 18:41:12
7,2026-01-01,Home & Kitchen,434.14,231.88,5,202.26,2026-07-14 18:41:12
8,2026-01-01,Home & Kitchen,464.75,299.48,6,165.26999999999998,2026-07-14 18:41:12
9,2026-01-01,Home & Kitchen,657.38,347.47,8,309.90999999999997,2026-07-14 18:41:12
10,2026-01-01,Sports,1302.64,788.04,12,514.6000000000001,2026-07-14 18:41:12
11,2026-01-01,Sports,830.9,432.06,7,398.84,2026-07-14 18:41:12
12,2026-01-02,Books,39.16,26.84,2,12.319999999999997,2026-07-14 18:41:12
13,2026-01-02,Books,39.4,21.34,2,18.06,2026-07-14 18:41:12
14,2026-01-02,Books,108.75,72.69,6,36.06,2026-07-14 18:41:12
15,2026-01-02,Books,143.08,95.38,7,47.70000000000002,2026-07-14 18:41:12
16,2026-01-02,Books,196.6,131.51,9,65.09,2026-07-14 18:41:12
17,2026-01-02,Electronics,3064.22,1701.25,12,1362.9699999999998,2026-07-14 18:41:12
18,2026-01-02,Home & Kitchen,1164.07,624.46,14,539.6099999999999,2026-07-14 18:41:12
19,2026-01-02,Sports,241.91,149.34,2,92.57,2026-07-14 18:41:12
20,2026-01-03,Books,149.8,88.37,7,61.43000000000001,2026-07-14 18:41:12
21,2026-01-03,Electronics,2876.09,1446.14,12,1429.95,2026-07-14 18:41:12
22,2026-01-03,Electronics,692.94,445.32,3,247.62000000000006,2026-07-14 18:41:12
