date,category,revenue,cost,units_sold
2026-06-01,Electronics,1159.5,598.54,5
2026-06-01,Home & Kitchen,1403.82,720.39,18
2026-06-01,Books,397.11,223.97,20
2026-06-01,Sports,117.66,74.66,1
2026-06-01,Sports,467.01,302.48,4
2026-06-01,Sports,1663.04,1021.99,15
2026-06-01,Books,275.81,161.4,13
2026-06-01,Home & Kitchen,624.58,409.77,8
2026-06-01,Sports,2149.14,1206.75,17
2026-06-01,Sports,2311.18,1246.3,18
2026-06-01,Books,240.39,125.39,11
2026-06-02,Home & Kitchen,1542.66,797.87,18
2026-06-02,Home & Kitchen,930.83,553.69,10
2026-06-02,Home & Kitchen,1141.37,783.56,14
2026-06-02,Clothing,644.19,373.52,15
2026-06-02,Books,164.89,87.52,8
2026-06-02,Home & Kitchen,943.37,497.29,11
2026-06-03,Home & Kitchen,844.25,454.2,10
2026-06-03,Clothing,364.07,208.15,8
2026-06-03,Sports,759.52,427.73,7
2026-06-03,Electronics,4739.87,3035.51,18
2026-06-03,Electronics,1293.92,749.42,5
2026-06-03,Electronics,2477.09,1442.8,10
2026-06-03,Electronics,2645.01,1490.72,10
2026-06-03,Home & Kitchen,1078.0,552.38,13
2026-06-03,Home & Kitchen,85.1,45.31,1
2026-06-03,Books,18.43,9.64,1
2026-06-03,Books,386.83,228.39,18
2026-06-04,Home & Kitchen,664.67,420.03,8
2026-06-04,Books,255.44,169.29,14
2026-06-04,Clothing,463.39,320.16,10
2026-06-04,Electronics,3484.19,2161.46,14
2026-06-04,Sports,235.27,133.54,2
2026-06-05,Books,144.92,73.56,7
2026-06-05,Books,311.89,169.35,15
2026-06-05,Clothing,538.04,281.55,13
2026-06-05,Home & Kitchen,428.42,221.0,5
2026-06-05,Home & Kitchen,1580.44,844.61,20
2026-06-06,Home & Kitchen,1257.86,778.79,15
2026-06-06,Electronics,2719.78,1770.65,10
2026-06-06,Electronics,1175.19,661.63,5
2026-06-06,Clothing,828.62,473.94,17
2026-06-06,Clothing,295.8,188.04,7
2026-06-06,Clothing,689.34,369.09,14
2026-06-06,Books,233.27,138.54,11
